0x7ff744e6721a => call    cs:GlobalMemoryStatusEx
0x7ff744e691ce => call    sub_7FF744E6B0B0
0x7ff744e691d6 => call    sub_7FF7450F8880
0x7ff744e691e5 => call    sub_7FF74510F1B0
0x7ff744e691ff => call    sub_7FF744E41840
0x7ff744e69219 => call    sub_7FF7452752B0
0x7ff744e69226 => call    sub_7FF74526D3B0
0x7ff744e69233 => call    sub_7FF74526D3B0
0x7ff744e6b065 => call    sub_7FF744E6B110
0x7ff744e6b06d => call    sub_7FF7450F69C0
0x7ff744e6b078 => call    sub_7FF74510F1B0
0x7ff744e6b08a => call    __security_check_cookie
